place,movie_title,rating,year,imdb_id,star_cast
126,For a Few Dollars More,8.199126912855236,1965,59578,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.19749714680228,2005,372784,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.19137957435088,1921,12349,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.190739319581192,1959,53291,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181492720428734,2020,10272386,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.18018264850733,1950,42192,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,The Wolf of Wall Street,8.177492759064346,2013,993846,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,Green Book,8.177445742462938,2018,6966692,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
134,Judgment at Nuremberg,8.171572200377698,1961,55031,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.163983145356875,1985,89881,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.163877293916048,1995,112641,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,Pan's Labyrinth,8.160689801747942,2006,457430,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
138,The Truman Show,8.16064047328886,1998,120382,"Peter Weir (dir.), Jim Carrey, Ed Harris"
139,There Will Be Blood,8.160039199164455,2007,469494,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
140,Unforgiven,8.15888977780903,1992,105695,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
141,The Sixth Sense,8.154523488098913,1999,167404,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142,Shutter Island,8.152597152892538,2010,1130884,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
143,A Beautiful Mind,8.151103236064538,2001,268978,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Jurassic Park,8.14892194063828,1993,107290,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
145,Yojimbo,8.148115955274589,1961,55630,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,The Treasure of the Sierra Madre,8.147321354401615,1948,40897,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Monty Python and the Holy Grail,8.14603744939582,1975,71853,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
148,The Great Escape,8.140156333541254,1963,57115,"John Sturges (dir.), Steve McQueen, James Garner"
149,No Country for Old Men,8.139759009830774,2007,477348,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
150,Kill Bill: Vol 1,8.138857274848531,2003,266697,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,Rashomon,8.138226418270808,1950,42876,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
152,Spider-Man: No Way Home,8.137216695799857,2021,10872600,"Jon Watts (dir.), Tom Holland, Zendaya"
153,The Thing,8.133275173845853,1982,84787,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
154,Finding Nemo,8.131355295231119,2003,266543,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
